,id,language,date,time_length,gender,medium,text_type,text
1,C2014-WRI-3F-001-001,czech,2014-10-29,3,F,writing,narration,"Jmenuji se Anna a třetím rokem studuji na Katedře Slovanských jazyků a literatury. Česky se učím jeden rok a čeština se mi moc líbí. Z toho důvodu žádám o výměnné stadium v České republice, s cílem zlepšit svou znalost Českého jazyka a dozvědět se o České republice vice. Tento rok jsem se v létě zůčastnila studijního pobytu v České republice, a to po dobu 15 dnů. přičemž 8 dní z toho jsem se učila češtinu ve letní škole."
2,C2014-WRI-3F-001-002,czech,2014-10-29,3,F,writing,narration,"Moc se mi líbil ten způsob, jakým nás naše profesorka učila. Bylo to velmi inspirativní a vzbudilo to ve mě hlubší zájem o český jazyk. Kromě studia, jsem v létě také s přáteli cestovala po Čechách a mohla tak pozorovat rozdíly v kuluře a životě v Čechách a na Taiwanu. Ráda bych se o těchto věcech dozvěděla ještě více. Cítím, že ve mě tato zkušenost vzbudila celoživotní zájem o poznávání kulturních odlišností mezi různými zeměmi a národy."
3,C2014-WRI-3F-001-003,czech,2014-10-29,3,F,writing,narration,"Co se českého jazyka týká, jsem stále začátečníkem, ale rychle a konstatně se zlepšuji. Na Taiwanu není mnoho příležitostí, kdy se naučit něco o české literatuře a jsem tak vesměs odkázána na informace přes internetu. Pokud bych mohla studovat v České republice, vybrala bych si přednášky o literatuře, umění, historii a především hodiny českého jazyka."
4,C2014-WRI-3F-001-004,czech,2014-10-29,3,F,writing,narration,"Nejde mi o to se učit česky pouze ve škole, ale ráda bych užívala češtinu ve svém denním životě a naučila se mluvit plynule. Mimo studia je pro mě velmi důležité poznávat svět. Cestování považuji za velmi důležité, neboť se tak mohu setkat s mnoha zajímavými lidmy a věcmi."
5,C2014-WRI-3F-001-005,czech,2014-10-29,3,F,writing,narration,"Nerada bych se omezila na znalosti získané pouze z knih. Chci přijímat výzvy, získat více sebevědomí a zlepšit svou komunikaci. Po návratu na Taiwan a ukončení studia bych ráda zkušenosti nabyté při studiu v zahraničí využila v rámci mé profesní kariéry."
6,C2015-WRI-2F-001-001,czech,2015-01-05,2,F,writing,narration,"Já ráda pracuji na zahradě. Já často vytrham plevel, vezmu si rukavice a zalévám květiny konví. Listí hrabu hráběmi. Když dám dobrou kávu na trávníku. Když hrajeme si fotbal na trávníku. Musím se také věnovat trávníku, hlavně ho pravidelně sekat. Mám ráda svoje zahradu."
7,C2015-WRI-2M-001-001,czech,2015-01-07,2,M,writing,narration,"Dobrý den! Jmenuju se Kyle. Já jsem student z Taiwanu,a studuju slavistinu v univerzite Chengchi, protože můžu říct činsky,taiwansky,rusky a málo česky. Je mi devatenáct let. Jsem veselý a optimistický,není agresivní ani arogantní. Rád čtu, píšu deník a zpívam ve sboru. Taky rád tancuju a hraju tenis, proto udržujou mne v dobré tělesné i duševní kondici. Mám otec,matku a čtyří sestry."
8,C2015-WRI-2M-001-002,czech,2015-01-07,2,M,writing,narration,"Byl je můj otec obchodník, ale teď on je v důchodu. Nicméně,on je nemnoho konzervativní a formální. Má matka je v domácnosti, je velmi elegantní. Nejsou starí ani mladí.jsou moc energickí. Moje sestry jsou chytří a dobří kamarádky. Jsem rad,že jsou tady. Myslím,má rodina není bohatá ale je opravdu dobrá."
9,C2015-WRI-2M-002-001,czech,2015-01-07,2,M,writing,narration,"Studoval jsem v univerzitě, protože ted‘ vim Česko v podstatě. Česka republika se skádá zetri částí - Čech, Moravy a častí Slezska. Území Čech obklopují pohoří. Ale Česka republika je vnitrozemský stát. Nejznámější českou řeku je Vltava, protéka totiž hlavním městem českou statu. Hlavní město České rebublika se jmenuje Praha. Praha se nachází v kotlině. Od sedmého století začína osídlení této oblasti Slovany."
10,C2015-WRI-2M-002-002,czech,2015-01-07,2,M,writing,narration,"Opera Libuše je významná česká legenda. Libuše byla zřejme královnou v českých dějinach. Ona byla kněžna českého národa. Její věštba o slávě Prahy a skvěle budoucností země dodávala českým vlastencům odvahy a sebevědomí.  Od druhé poloviny devět století zde vzniká hrad u řeky Vltavy byl postaven a trvalo několik set let, něz nabyl dnesní podoby. Byl sídlem českých králu a po vyhlášení Československá republika sídlem prezidentu."
11,C2015-WRI-2M-002-003,czech,2015-01-07,2,M,writing,narration,"Ve čtrnáct století za Karla IV se Praha stala vzynamým mestem v Evropě a sidlem císaře Svaté říše řimské, proto jeho maminka je moravanka.budoval je Katedrálu svatého Vítu, Karlův most, a Karlovou univerzitu. Česká republika je průmyslový stát.Nejvýznamnější prů yslové podniky najdeme v Praze."
12,C2015-WRI-2M-002-004,czech,2015-01-07,2,M,writing,narration,"Mnoho starých hradů, zámku a zajímavých měst. Brno, největší moravské město, je známé svými mezinárodnímí veletrhy. Ovšem mnohem známější je plzeňský pivovar. Nejpopulárnější české automobily značky Škoda se vyrábějí ve městě Mladá Boleslav. Krásné jsou západočeského lázně - Karlovy Vary, Mariánské lázně a Teplice"
13,C2015-WRI-3M-003-001,czech,2015-01-23,3,M,writing,narration,"Mé jméno je Jill. Já jsem dvacet let starý Tchaiwanec. Zde jsou tři důvody, proč bych rád jel na letní tábor do České republiky. Za prvé, moje hlavní specializace je zemská ekonomie na Národní Cheng Chi univerzitě v Tchaj-wanu. Studenti v našem oddělení se soustředují na to, jak trh nemovitostí funguje a jak politika by měla pracovat s ním, ale já jsem hlavně zájem v městské oblasti. Městská oblast je o celém prožitku v městech, skládající se z prostoru, kvality a pocit. To znamená, že všechny faktory jsou nezbytné."
14,C2015-WRI-3M-003-002,czech,2015-01-23,3,M,writing,narration,"V současné době, kromě high-tech průmyslu, byl Tchaj-wan byla věnována oblasti cestovního ruchu rozvíjet. Jak naše města expanduje pozemkových úprav a regenerace měst, což vede stále k tomu, že více a více starých domů jsou nahrazovány novými. Účinek, který nelze ignorovat, je, že jsme ztratili historickou hodnotu díky způsobu bourání starých budov. Podle mne, aby se stal zemí, která je dostatečně atraktivní pro všechny zahraniční turisty, ať už vlastní nejmodernější zařízení nebo jiný “hardware” není jediný a hlavní bod."
15,C2015-WRI-3M-003-003,czech,2015-01-23,3,M,writing,narration,"Chcete-li přilákat lidi po celém světě, měli bychom  je nalákat na jedinečnou atmosféru, kterou naše země má. Obklopena elegancí městské krajiny, Česká republice může být učitelem, od kterého see Tchaj-wan mohl učit. Za druhé, můj nejlepší přítel, který byl v Evropě několikrát, mě řekl o svém cestování a doporučuje mi, abych navštívil Českou republiku. Při pohledu na obrázky, které přivezl, hned jsem viděl malebné scenérie."
16,C2015-WRI-3M-003-004,czech,2015-01-23,3,M,writing,narration,"Pro člověka, jako jsem já, který nikdy nebyl v zahraničí, by bylo úžasné, kdybych mohl zažít takové prostředí. Kromě toho, můj český učitel často přinesl několik speciálních jídel do třídy na ochutnání, a i to ve mně vyvolalo touhu po této zemi. Nikdy jsem nebyl na cizí zemi, jestli bych mohl mít šanci zůstat v Česku a zároveň i použít moje dovednosti českého jazyka, byl by to můj první krok, abych poznal svět venku, a já se na to rozhodně těším."
17,C2015-WRI-3M-003-005,czech,2015-01-23,3,M,writing,narration,"Posledním důvodem, který bych chtěl požádat o tuto šanci je, že bych chtěl opustit svou zónu “pohodlí”. Říká se, že cestování vám dává nejlepší šanci jak se poznat. Rád bych, abych dostál výzvu, při které jsem pryč od všech druhů věcí, na které jsem zvyklý a abych poznal, jak daleko se můžu dostat, vědět, a vůbec poznat, jaký jsem to vlastně člověk a přitom naslouchat hlasu svého srdce."
18,C2015-WRI-3M-003-006,czech,2015-01-23,3,M,writing,narration,"Na závěr, frekvence mezinárodní styků je stále vyšší a vyšší a jako vysokoškolský student bych si rád rozšířil svou vizi a jasně pochopit, jakou pozici bych měl mít. Spojení této letní tábor je velká šance, za kterou bych byl velmi vděčný."
19,C2015-WRI-3M-004-001,czech,2015-01-24,3,M,writing,narration,"Česká republika je stát ve střední Evropě. Spíše říkáme, že je to než jako země uprostřed Evropy. Měli bychom mluvit o České republice jako zemi v srdci Evropy - srdce nelze nalézt přesně ve středu lidského těla. Česká republika má 10,300,000 obyvatel, převážně české národnosti. Menšiny, zejména slovenské, polské, a německy, tvoří asi 5 procent populace. Oficiálním jazykem je čeština, která je západný slovanský jazyk."
20,C2015-WRI-3M-004-002,czech,2015-01-24,3,M,writing,narration,"Česká republika je jako jeden z několika nadnárodních států ve východní a střední Evropě. Po první světové válce, bylo Československá republika v roce 1918. V roce 1960 byl v souladu s ideologii vládnoucí Komunistické strany Československa název státu změněn na Československá socialistická republika. Po pádu komunismu v roce 1989 bylo název státu změněn na Československá federativní republika. Po vleklých sporech byl nakonec schválen název Česká a Slovenská Federativní Republika, který se používal až do zániku státu v roce 1993."
21,C2015-WRI-3M-004-003,czech,2015-01-24,3,M,writing,narration,"Česká výroba strojů, chemický průmysl, hutnictví, textil, obuv, zpracování dřeva, skla výroba a pivovarnictví a dalších průmyslových odvětví. Česká má rozvinutý, s vysokými příjmy ekonomiku s HDP na obyvatele 80% průměru Evropské unie. Většina ekonomiky byla privatizována, včetně bank a telekomunikací."
22,C2015-WRI-3M-004-004,czech,2015-01-24,3,M,writing,narration,"Současná vláda plánuje pokračovat s privatizací, včetně energetického průmyslu a letiště Praha. Většina českých ekonomů přednost pokračující liberalizaci ve většině odvětví ekonomiky. Česká republika je zařazen 30th v 2012 indexu ekonomické svobody. Česká republika je parlamentní demokracie. Každý občan kdo je starší 18 má právo volit."
23,C2015-WRI-3M-004-005,czech,2015-01-24,3,M,writing,narration,"Nejvyšším výkonným orgánem je Prezident, kdo je formální hlavou státu. Nejvyšším zákonodárným orgánem je parlament, který se skládá z Poslanecké sněmovny, dolní komora zákonodárce, a Senátu, což je horní komora. Výkonný Nejvyšším orgánem je vláda. Premiér je v čele vlády a je jmenován prezidentem republiky."
24,C2015-WRI-3M-002-001,czech,2015-01-24,3,M,writing,narration,"Jmenuju se Petr. Je mi dvacet let. Jsem z normální rodiny. Jsem nejmladší v rodině, ale jsem nezávislý. Když chci udělat něco, pořad zkusim udělat sam. Když jsem začál studovat na univerzitě, hodně jsem se učil. Až ted se učím ve škole a doma pevně. Věřím, že je to nejlepší způsob, abych dostal nejlepší vysledek v studium a potom měl úspěšný život. To je taky proto pořád moje vysledky jsou stale dobré."
25,C2015-WRI-3M-002-002,czech,2015-01-24,3,M,writing,narration,"Kromě toho, jsem taky členem v mnoho společnosti, abych se naučil komunikaci s lidmi. Když jsem byl na druhé ročniku, byl jsem členem v společnosti „Advertising and Public Relation in Hsinchu-Miaoli Brotherhood”, v té době jsem se opravdu naučil hodně, například jak mluvit s lidmi a jak poslouchat co lidi říkají."
26,C2015-WRI-3M-002-003,czech,2015-01-24,3,M,writing,narration,"Když jsem byl malý, neuměl jsem dobrou komunikaci s lidmi a taky jsem neuměl jak vyjádřovat sebe dobře. Taky jsem se bál mluvit před lidmi, a jsem často zapomenoul co jsem chtěl říct. To bylo důvod, proč jsem chtěl být členem v Statistics’ Student Organization, abych našel příležitost být lídrem. Měl jsem velkou radost v učení těchto dovedností."
27,C2015-WRI-3M-002-004,czech,2015-01-24,3,M,writing,narration,"Jsem optimistický člověk. Když mám nějaký problém před mnou, bych si říkám ""to jen malý problém v mém životě, měl bych řešit, a pak dál."" Jsem zodpovědný člověk, a možne proto mám šanci, abych měl úspěch. Myslím, že dostanu spoustu věcí i když mám šanci do Česku, hlavně kvůli moje osobnost."
28,C2015-WRI-3M-002-005,czech,2015-01-24,3,M,writing,narration,"Podle mého názoru, hlavní důvod do Česku je to, že mohu cvičit svou českou zručnost, rozšíření mé obzory a prožívání cizí kultury. Chtěl bych se dozvědět více o cizí zemi, kultuře, a potkat splnění různých lidí v zahraničí. Zejména v posledním roce na univerzitě, chtěl bych mit krásné zakončení a barevné paměť v mém životě. Tak myslím si, že je to nejlepší způsob, abych šel do Česku republiky a tam se učím česky."
29,C2015-WRI-3F-005-001,czech,2015-01-24,3,F,writing,narration,"Narodila jsem se do rodiny, kde panuje šťastná atmosféra. Oba moji rodiče jsou učitelé. Mám sedmnáctiletého bratra a jedenáctiletou sestru. Naši rodiče nás vždycky podporovali v tom, abychom šli za svými sny. Rádi se scházíme v obývacím pokoji, bavíme se spolu a sdílíme myšlenky a pocity. Všem nám na nás vzájemně moc záleží. Naši rodiče na nás mají velký vliv."
30,C2015-WRI-3F-005-002,czech,2015-01-24,3,F,writing,narration,"Domnívají se, že čtení je nejlepší způsob, jak se učit, proto v našem domě není televize, místo toho jsou na zdech stovky knih. Ve volném čase většinou chodíme ven nebo si doma čteme. Tak jsem si knihy zamilovala. Jsem dívka, která má ráda výzvy a nebojí se postavit čelem čemukoli. Během svých studií jsem vyzkoušela nejrůznější činnosti."
31,C2015-WRI-3F-005-003,czech,2015-01-24,3,F,writing,narration,"Vstoupila jsem do školního sboru, orchestru, účastnila jsem se soutěží v psaní, pracovala jako dobrovolnice v nevládních organizacích a tak dále. Díky těmto aktivitám jsem se mnohé naučila. Například loni v létě jsem jela jako dobrovolnice do Kambodži. Musela jsem opustit své pohodlí a žít s místními lidmi. Pracovala jsem s nimi na poli, stavěla jejich domy, opravovala silnice."
32,C2015-WRI-3F-005-004,czech,2015-01-24,3,F,writing,narration,"Díky této zkušenosti jsem poznala, že se dokážu velmi dobře přizpůsobit kterékoli kultuře, což je velmi důležitá schopnost pro světoobčana. Poté, co jsem se na střední škole začala učit španělsky, jsem zjistila, že mám na učení jazyků talent, a stalo se to mojí vášní. Chci se naučit tolik jazyků, kolik jen budu moci. Na NCCU studuji obor etnologie."
33,C2015-WRI-3F-005-005,czech,2015-01-24,3,F,writing,narration,"Musím se učit o kulturách všech etnických skupin. Čím více se dovídám, tím více chci cestovat po světě a vstřebávat veškeré možné znalosti. Skutečně se domnívám, že schopnost mluvit cizími jazyky je pro mne nejúčinnějším nástrojem pro splnění mých snů."
34,C2015-WRI-3F-005-006,czech,2015-01-24,3,F,writing,narration,"V tomto semestru jsem studovala češtinu. Zjistila jsem, že tento jazyk představuje ještě větší výzvu než španělština, protože má velmi komplikovanou větnou strukturu a pořádek slov. Bez ohledu na to, jak moc se čeština liší od ostatních jazyků, které jsem se učila, se mi kurz velmi líbil. Vždy, když jsem se dozvěděla něco nového, měla jsem silný pocit naplnění."
35,C2015-WRI-3F-005-007,czech,2015-01-24,3,F,writing,narration,"Naše učitelka nám rovněž vyprávěla, jak skvělé jsou Čechy: nádherná krajina, přátelští lidé a zajímavé zvyky. Kvůli tomu, co nám vyprávěla, toužím Českou republiku navštívit, abych viděla, jak je to ve skutečnosti. Chtěla bych toto léto navštívit Českou republiku, abych ji více poznala, a to i její jazyk a kulturu."
36,C2015-WRI-3F-005-008,czech,2015-01-24,3,F,writing,narration,"Chci také navázat přátelství s tamními lidmi a povědět jim, jak krásná je moje vlast! Chtěla bych využít svých zvláštních dovedností, zpěvu a kaligrafie, abych jim ukázala čínskou harmonii a krásu čínských slov. Věřím, že díky své osobnosti a dovednostem dokážu z této studijní cesty učinit úžasnou letní zkušenost."
37,C2015-WRI-3F-006-001,czech,2015-01-24,3,F,writing,narration,"Bedřich Smetana (1824-1884), Antonín Dvořák (1841-1904) a Leoš Janáček (1854-1928) jsou tři nejznámější čeští hudebníci. Češi milují hudbu. Hudba je pro ně stejně důležitá jako samotný život. Mezi skladby tradiční a klasické hudby patří mimo jiné symfonie Z Nového světa, Má vlast a česká polka. Kromě tradiční a klasické hudby je oblíbená i hudba populární."
38,C2015-WRI-3F-006-002,czech,2015-01-24,3,F,writing,narration,"Česká literatura hrála v českých dějinách významnou úlohu. Počátkem 19. století a v šedesátých letech 20. století využívali Češi kultury a literatury k vytváření politické svobody a budování sebevědomého, politicky uvědomělého národa. Spisovatelé jako Václav Havel, Bohumil Hrabal a Ivan Klíma jsou veřejné osobnosti a jejich knihy se prodávají ve velkých množstvích."
39,C2015-WRI-3F-006-003,czech,2015-01-24,3,F,writing,narration,"Díky svému uměleckému sklu a křišťálu je Česká republika známá po celém světě. Každý kus je vyráběn samostatně, sklo se fouká ústy, a pak zdobí. Kromě skla a křišťálu je v České republice spousta galerií se sbírkami skvělého umění. Mezi nejznámější galerie s výbornými sbírkami patří Národní galerie, Schwarzenberský palác a Moravská galerie."
40,C2015-WRI-3F-006-004,czech,2015-01-24,3,F,writing,narration,"Češi slaví Vánoce každý rok, oslavy začínají štědrovečerní večeří. Češi na oslavu toho dne připravují spoustu úžasných jídel. Večeře je spojena s celou řadou různých zvyků, pravidel a pověr. Stůl musí být například prostřen pro sudý počet lidí, protože Češi věří, že liché číslo přináší smůlu. Musí být pěkně složité všechno připravit a neudělat chybu při dodržení všech zvyků!"
41,C2015-WRI-3F-006-005,czech,2015-01-24,3,F,writing,narration,"České Vánoce pokračují 25. a 26. prosince. 25. prosince lidé chodívali po domech a zpívali vánoční koledy. V dnešní době zůstávají rodiny doma a odpočívají, nebo navštěvují příbuzné a přátelé a s nimi slaví tento vyjímečný čas. Česká republika má jednu z nejrozvinutějších průmyslových ekonomik ze všech rozvíjejících se demokracií střední a východní Evropy."
42,C2015-WRI-3F-006-006,czech,2015-01-24,3,F,writing,narration,"Mezi nejdůležitější průmyslová odvětví patří těžké a všeobecné strojírenství, výroba železa a oceli, zpracování železa, chemický průmysl, výroba dopravních zařízení, textilní průmysl, sklářský průmysl, pivovarnictví, výroba porcelánu a keramiky a farmaceutický průmysl. Mezi hlavní zemědělské produkty patří cukrová řepa, krmiva, brambory, pšenice a chmel."
43,C2015-WRI-3F-006-007,czech,2015-01-24,3,F,writing,narration,"Česká republika je pluralitní stranická parlamentní zastupitelská demokracie s ministerským předsedou jako hlavou vlády. Ministerský předseda je hlavou vlády a má značné pravomoci, včetně pravomoci stanovovat program větší části domácí i zahraniční politiky, mobilizovat parlamentní většinu a vybírat vládní ministry. Češi jsou středoevropská etnická skupina, která žije především v České republice."
44,C2015-WRI-3F-006-008,czech,2015-01-24,3,F,writing,narration,"Češi žijí také na Slovensku, v Rakousku, na Ukrajině, ve Spojených státech, Spojeném království, Chile, Argentině, Kanadě, Německu, Rusku a v dalších státech. Mluví česky. Moravané jsou moderní západoslovanští obyvatelé Moravy, tedy nejvýchodnější části České republiky, ke které patří i Moravské Slovácko. Používají dvě přechodné českomoravské skupiny dialektů a standardní češtinu. Slováci jsou západoslovanská národnost, jejíž příslušníci obývají především Slovensko a mluví slovensky."
