seq,id,date,time_length,gender,medium,text_type,text
1,R2014-SPE-1F-001-001,2014-04-21,1,F,speaking,narration,"Это, это фильм, я, я смотри мыш, муш, муш. Я смотри мыш, муш, собака и утка и, и я не знаю. Де, девушка спит, ут, утка хо, хочу, хотеть, хотеть спит. Интересный, я думаю это фильм интересный, я люблю это фильм."
2,R2013-SPE-1M-009-001,2013-03-11,1,M,speaking,narration,"В это фильме я думаю, что музы музы эта музыка интересна. Мне нравится музыка в это фильме. Я они не говори, но я думаю, я могу понимать это фильм. Я. Они ездили на море и отдыхали в на море. И они. Я думаю, что они. Мне нравится этот фильм. Я думаю, что это фильм интересно."
2,R2013-SPE-1M-009-002,2013-03-11,1,M,speaking,narration,"Я. Это фильм интересно, потому что много животные, потому что мне нравятся животные. Корова. Поэтому я думаю, это интересно. Они танцевают и еди едят на море и играют и отдыхают на море. Потом они видели чё чёрные животные. Всё."
3,R2013-SPE-1M-010-001,2013-03-11,1,M,speaking,narration,"Я посмотрел интересный фильм. Я думаю, что что. Когда я ко-когда я смо-смотрел этот фильм, я думал думал мой детский время. Я раньше я смотрю смотрел Микки Маус по телевизору. Этот Микки Маус симпатичный и умный. Я люблю очень люблю Микки Маус. Микки Маус и его друзья в. Это интересный фильм."
3,R2013-SPE-1M-010-002,2013-03-11,1,M,speaking,narration,"Микки Маус отдыха и его друзья отдыхали на море. Они игра, поку покупались в море и обедали. Я думаю, Микки Маус Микки Маус де-де- Микки Маус де-де-детись товарищ. Микки Маус умный и симпатичный товарищ и дети. Когда когда этот фильм когда этот фильм шёл, Микки Маус и его друзья игра игра играют."
3,R2013-SPE-1M-010-003,2013-03-11,1,M,speaking,narration,"И я думаю, это это фильм интересно, потому что музы музыка и и симпатичные симпатичные симпатичные симпатичные. Они симпатичные. Всё, когда я смотрел этот фильм, я су-су-чувствовал весёло весёлый. Я и я я думал, все всё плохой плохой пло-плохой вещь получилось. Микки Маус и его друзья очень очень очень симпатичные очень симпатичные, поэтому дети люблю лю лю любят они очень. Всё."
4,R2013-SPE-1F-001-001,2013-03-11,1,F,speaking,narration,"Это амери американка кино кинофильм. Это текста и фильм это текста и фильм о Ми-Микки. Микки и и его друзья и и его собака игра-играют на мо-море. Они они гуляют с удовольст- с удовольствием. Они танцевает и танцевает и едят вкусно вкусный. Но но они играют с удовольствием. Потом они вст-встваем плохо-плохая пло-плохая дело. Потом они... Я думаю, это интересный и симпатичный фильм. Я думаю, это хорошая, интересный и красивый фильм. У у него у него есть симпатичный пес- симпатичная песня."
5,R2013-SPE-2F-006-001,2013-03-11,2,F,speaking,narration,"В этом фильме я вижу Ми-Минни и он она одевается зелёное пла-платье и она тан-танцевает на море. Потом я вижу Микки внизу, он он он взя-взяет зелёный зонтик. И потом они бегает бегает бегают на море. И они встре-встречают два животные – один зелёный, и другие синий. И потом они ре-решают играю играть в море. Микки очень любит игра-играть в море."
5,R2013-SPE-2F-006-002,2013-03-11,2,F,speaking,narration,"Зелёлое животное очень бо-бо-боится играть воды, и синее синее животное бегает на море. И потом Микки дел-делает игры для воды. Он делает собаку и потом они бега-бегают на море. И он он. Когда они играют в море, Минни делает делает е-еду. Когда она го- всё готовит, она ска-скажи они скажи их, что можно есть еду еду. И все бегают на море. И всё все обе-обедать вместе."
5,R2013-SPE-2F-006-003,2013-03-11,2,F,speaking,narration,"И собака ест кол-колбасы, и зелёное животное ест фрукты, и потом собака бегает в море и потом встре-встречает чёрный животный. Чёрный животный очень серди-сердится, он бегает собаку, собаку очень боюсь. И потом друзья реши решают решают бегают бегать чёрный животный. И потом Микки удач-удачно бе-бега-бегать чёрный животный."
